path,filename,participant,statement,confidence_level,confidence_type,accuracy,free_cued_recall
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s70.wav,'S2_w02_t1_s70.wav',2,70.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s43.wav,'S2_w02_t1_s43.wav',2,43.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s56.wav,'S2_w02_t1_s56.wav',2,56.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s13.wav,'S2_w02_t1_s13.wav',2,13.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s07.wav,'S2_w02_t1_s07.wav',2,7.0,100.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s58.wav,'S2_w02_t1_s58.wav',2,58.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w02_t01/S2_w02_t1_s30.wav,'S2_w02_t1_s30.wav',2,30.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s32.wav,'S2_w51_t1_s32.wav',51,32.0,20.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s27.wav,'S2_w51_t1_s27.wav',51,27.0,40.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s47.wav,'S2_w51_t1_s47.wav',51,47.0,20.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s50.wav,'S2_w51_t1_s50.wav',51,50.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s35.wav,'S2_w51_t1_s35.wav',51,35.0,60.0,2.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s20.wav,'S2_w51_t1_s20.wav',51,20.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s01.wav,'S2_w51_t1_s01.wav',51,1.0,100.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s67.wav,'S2_w51_t1_s67.wav',51,67.0,0.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s18.wav,'S2_w51_t1_s18.wav',51,18.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s14.wav,'S2_w51_t1_s14.wav',51,14.0,40.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s15.wav,'S2_w51_t1_s15.wav',51,15.0,80.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s29.wav,'S2_w51_t1_s29.wav',51,29.0,20.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s12.wav,'S2_w51_t1_s12.wav',51,12.0,40.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s65.wav,'S2_w51_t1_s65.wav',51,65.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s09.wav,'S2_w51_t1_s09.wav',51,9.0,60.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s53.wav,'S2_w51_t1_s53.wav',51,53.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s26.wav,'S2_w51_t1_s26.wav',51,26.0,40.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s62.wav,'S2_w51_t1_s62.wav',51,62.0,40.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s43.wav,'S2_w51_t1_s43.wav',51,43.0,40.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s60.wav,'S2_w51_t1_s60.wav',51,60.0,0.0,2.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s57.wav,'S2_w51_t1_s57.wav',51,57.0,20.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s36.wav,'S2_w51_t1_s36.wav',51,36.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s38.wav,'S2_w51_t1_s38.wav',51,38.0,60.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s04.wav,'S2_w51_t1_s04.wav',51,4.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s66.wav,'S2_w51_t1_s66.wav',51,66.0,60.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s56.wav,'S2_w51_t1_s56.wav',51,56.0,40.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s31.wav,'S2_w51_t1_s31.wav',51,31.0,40.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s54.wav,'S2_w51_t1_s54.wav',51,54.0,20.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s03.wav,'S2_w51_t1_s03.wav',51,3.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s46.wav,'S2_w51_t1_s46.wav',51,46.0,60.0,2.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s05.wav,'S2_w51_t1_s05.wav',51,5.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s39.wav,'S2_w51_t1_s39.wav',51,39.0,100.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s30.wav,'S2_w51_t1_s30.wav',51,30.0,40.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s07.wav,'S2_w51_t1_s07.wav',51,7.0,60.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s52.wav,'S2_w51_t1_s52.wav',51,52.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s25.wav,'S2_w51_t1_s25.wav',51,25.0,60.0,2.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w51_t01/S2_w51_t1_s49.wav,'S2_w51_t1_s49.wav',51,49.0,,,1,2
